pair	key	word	pinyin	hsk	voices
13	chu1zou3	出走	chūzǒu	596	female,male
13	chui1peng3	吹捧	chuīpěng	638	female,male
13	cu1lu3	粗鲁	cūlǔ	685	female,male
13	cui1hui3	摧毁	cuīhuǐ	693	female,male
13	dan1bao3	担保	dānbǎo	761	female,male
13	deng1chang3	登场	dēngchǎng	826	female,male
13	deng1ding3	登顶	dēngdǐng	827	female,male
13	di1gu3	低谷	dīgǔ	836	female,male
13	dian1bo3	颠簸	diānbǒ	869	female,male
13	dian1dao3	颠倒	diāndǎo	870	female,male
13	ding1zhu3	叮嘱	dīngzhǔ	910	female,male
13	diu1lian3	丢脸	diūliǎn	926	female,male
13	fa1dou3	发抖	fādǒu	1034	female,male
13	fa1huo3	发火	fāhuǒ	1035	female,male
13	fei1dei3	非得	fēiděi	1125	female,male
13	fei1fa3	非法	fēifǎ	1127	female,male
13	fen1jie3	分解	fēnjiě	1158	female,male
13	feng1cai3	风采	fēngcǎi	1181	female,male
13	feng1ding3	封顶	fēngdǐng	1184	female,male
13	feng1man3	丰满	fēngmǎn	1196	female,male
13	feng1shui3	风水	fēngshuǐ	1206	female,male
13	feng1suo3	封锁	fēngsuǒ	1208	female,male
13	fu1qian3	肤浅	fūqiǎn	1226	female,male
13	fu1yan3	敷衍	fūyǎn	1227	female,male
14	an1ding4	安定	āndìng	14	female,male
14	an1yi4	安逸	ānyì	21	female,male
14	an1zhi4	安置	ānzhì	22	female,male
14	ba1gua4	八卦	bāguà	38	female,male
14	ban1bu4	颁布	bānbù	68	female,male
14	bao1bi4	包庇	bāobì	98	female,male
14	bei1fu4	背负	bēifù	140	female,male
14	bei1tong4	悲痛	bēitòng	142	female,male
14	ben1fu4	奔赴	bēnfù	157	female,male
14	beng1dai4	绷带	bēngdài	170	female,male
14	beng1kui4	崩溃	bēngkuì	171	female,male
14	bi1jin4	逼近	bījìn	174	female,male
14	bi1po4	逼迫	bīpò	175	female,male
14	bian1ce4	鞭策	biāncè	194	female,male
14	bian1hao4	编号	biānhào	196	female,male
14	bian1jie4	边界	biānjiè	198	female,male
14	bian1jing4	边境	biānjìng	199	female,male
14	bian1ju4	编剧	biānjù	200	female,male
14	bian1pao4	鞭炮	biānpào	202	female,male
14	bian1zao4	编造	biānzào	205	female,male
14	bian1zhi4	编制	biānzhì	206	female,male
14	biao1ji4	标记	biāojì	235	female,male
14	biao1shi4	标示	biāoshì	239	female,male
14	biao1zhi4	标致	biāozhì	241	female,male
14	bo1dong4	波动	bōdòng	275	female,male
14	bo1lang4	波浪	bōlàng	280	female,male
14	can1jian4	参见	cānjiàn	372	female,male
14	can1zhao4	参照	cānzhào	374	female,male
14	cang1cu4	仓促	cāngcù	388	female,male
14	cao1kong4	操控	cāokòng	394	female,male
14	cao1lian4	操练	cāoliàn	396	female,male
14	cao1zong4	操纵	cāozòng	398	female,male
14	cha1cuo4	差错	chācuò	412	female,male
14	chang1sheng4	昌盛	chāngshèng	442	female,male
14	chao1piao4	钞票	chāopiào	457	female,male
14	chi1li4	吃力	chīlì	512	female,male
14	chong1chi4	充斥	chōngchì	531	female,male
14	chong1ci4	冲刺	chōngcì	532	female,male
14	chong1lang4	冲浪	chōnglàng	535	female,male
14	chong1pei4	充沛	chōngpèi	536	female,male
14	chong1yu4	充裕	chōngyù	538	female,male
14	chong1zhuang4	冲撞	chōngzhuàng	539	female,male
14	chou1yang4	抽样	chōuyàng	555	female,male
14	chu1dong4	出动	chūdòng	574	female,male
14	chu1ju4	出具	chūjù	578	female,male
14	chu1lu4	出路	chūlù	580	female,male
14	chu1mai4	出卖	chūmài	581	female,male
14	chu1mian4	出面	chūmiàn	582	female,male
14	chu1ren4	出任	chūrèn	583	female,male
14	chu1zhong4	出众	chūzhòng	593	female,male
21	bie2shuo1	别说	biéshuō	252	female,male
21	cai2jing1	财经	cáijīng	363	female,male
21	can2que1	残缺	cánquē	379	female,male
21	cang2shen1	藏身	cángshēn	393	female,male
21	chang2zheng1	长征	chángzhēng	449	female,male
21	chen2si1	沉思	chénsī	480	female,male
21	cheng2bao1	承包	chéngbāo	488	female,male
21	cheng2jia1	成家	chéngjiā	490	female,male
21	cheng2jie1	承接	chéngjiē	492	female,male
21	cheng2qing1	澄清	chéngqīng	497	female,male
21	cheng2tian1	成天	chéngtiān	500	female,male
21	cheng2xin1	成心	chéngxīn	501	female,male
21	chong2gao1	崇高	chónggāo	543	female,male
21	chong2shen1	重申	chóngshēn	547	female,male
21	chu2chuang1	橱窗	chúchuāng	598	female,male
21	chuan2dan1	传单	chuándān	623	female,male
21	cun2xin1	存心	cúnxīn	699	female,male
21	da2biao1	达标	dábiāo	713	female,male
21	de2shi1	得失	déshī	817	female,male
21	du2jia1	独家	dújiā	964	female,male
21	du2shen1	独身	dúshēn	966	female,male
21	fan2duo1	繁多	fánduō	1067	female,male
21	fen2shao1	焚烧	fénshāo	1166	female,male
21	ge2xin1	革新	géxīn	1346	female,male
21	guo2hui1	国徽	guóhuī	1536	female,male
21	han2xuan1	寒暄	hánxuān	1585	female,male
21	hang2tian1	航天	hángtiān	1594	female,male
21	he2hu1	合乎	héhū	1628	female,male
21	he2hua1	荷花	héhuā	1629	female,male
21	he2yue1	合约	héyuē	1645	female,male
21	he2zi1	合资	hézī	1647	female,male
21	heng2xing1	恒星	héngxīng	1660	female,male
21	hong2guan1	宏观	hóngguān	1669	female,male
21	hu2po1	湖泊	húpō	1706	female,male
21	hu2shuo1	胡说	húshuō	1707	female,male
21	hua2ji1	滑稽	huájī	1720	female,male
21	hua2ti1	滑梯	huátī	1726	female,male
21	huang2gong1	皇宫	huánggōng	1766	female,male
21	huang2hun1	黄昏	huánghūn	1768	female,male
21	hui2gui1	回归	huíguī	1781	female,male
21	hui2sheng1	回升	huíshēng	1785	female,male
21	hun2shen1	浑身	húnshēn	1811	female,male
21	huo2gai1	活该	huógāi	1816	female,male
21	huo2qi1	活期	huóqī	1817	female,male
21	ji2ta1	吉他	jítā	1880	female,male
21	ji2zi1	集资	jízī	1890	female,male
21	jie2jing1	结晶	jiéjīng	2093	female,male
21	kuang2huan1	狂欢	kuánghuān	2439	female,male
21	lai2bin1	来宾	láibīn	2468	female,male
21	lan2gan1	栏杆	lángān	2476	female,male
22	bo2hui2	驳回	bóhuí	288	female,male
22	bo2xue2	博学	bóxué	290	female,male
22	cai2jue2	裁决	cáijué	364	female,male
22	cai2yuan2	裁员	cáiyuán	366	female,male
22	can2liu2	残留	cánliú	378	female,male
22	cao2za2	嘈杂	cáozá	399	female,male
22	cha2jue2	察觉	chájué	420	female,male
22	cha2ming2	查明	chámíng	422	female,male
22	chai2you2	柴油	cháiyóu	427	female,male
22	chang2huan2	偿还	chánghuán	443	female,male
22	chang2ren2	常人	chángrén	446	female,male
22	chang2zu2	长足	chángzú	450	female,male
22	chao2xue2	巢穴	cháoxué	463	female,male
22	chen2mi2	沉迷	chénmí	477	female,male
22	chen2zhuo2	沉着	chénzhuó	482	female,male
22	cheng2cai2	成才	chéngcái	489	female,male
22	cheng2qiang2	城墙	chéngqiáng	496	female,male
22	cheng2quan2	成全	chéngquán	498	female,male
22	cheng2xing2	成型	chéngxíng	502	female,male
22	chi2chi2	迟迟	chíchí	516	female,male
22	chi2ming2	驰名	chímíng	519	female,male
22	chi2ping2	持平	chípíng	520	female,male
22	chi2tang2	池塘	chítáng	521	female,male
22	chi2yi2	迟疑	chíyí	522	female,male
22	chong2chong2	重重	chóngchóng	540	female,male
22	chong2die2	重叠	chóngdié	541	female,male
22	chong2he2	重合	chónghé	544	female,male
22	chou2ji2	筹集	chóují	563	female,male
22	chou2ren2	仇人	chóurén	567	female,male
22	chuan2bo2	船舶	chuánbó	622	female,male
22	chuan2mei2	传媒	chuánméi	624	female,male
22	chuan2qi2	传奇	chuánqí	625	female,male
22	chuan2ren2	传人	chuánrén	626	female,male
22	chuan2wen2	传闻	chuánwén	627	female,male
22	chuan2yan2	传言	chuányán	628	female,male
22	chun2jie2	纯洁	chúnjié	646	female,male
22	ci2cheng2	辞呈	cíchéng	653	female,male
22	ci2xiang2	慈祥	cíxiáng	659	female,male
22	cong2lin2	丛林	cónglín	676	female,male
